ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1705116	0.0145	0.00000131	-6.320.428	52.429.951	-13.296.937	557129030	SLC22A23	solute carrier family 22 member 23
ILMN_1759232	0.017	0.00000307	5.980.424	44.924.064	10.105.291	187761322	IRS1	insulin receptor substrate 1
ILMN_1742410	0.0173	0.00000469	-5.813.036	4.117.567	-22.310.421	961658090	BCL2L1	BCL2 like 1
ILMN_1720241	0.0289	0.0000144	-5.372.773	31.172.566	-0.7293672	545746401	TRIP12	thyroid hormone receptor interactor 12
ILMN_2202940	0.0289	0.00001589	-5.334.414	30.292.426	-10.815.985	50726995	CHPT1	choline phosphotransferase 1
ILMN_2323427	0.0289	0.00001673	-531.447	29.834.352	-18.621.777	260436832	EPB41	erythrocyte membrane protein band 4.1
ILMN_2125010	0.0289	0.00001962	-5.252.353	28.405.642	-0.889113	744066861	SKAP2	src kinase associated phosphoprotein 2
ILMN_1785141	0.0289	0.00002309	-5.189.159	26.949.263	-17.738.658	544063399	MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2
ILMN_2273447	0.0289	0.00002775	-51.178	25.301.413	-24.793.486	342837748	NPRL3	NPR3 like, GATOR1 complex subunit
ILMN_1745806	0.0289	0.00002842	5.108.418	25.084.523	0.5475494	22538479	PEMT	phosphatidylethanolamine N-methyltransferase
ILMN_1701911	0.0289	0.00002904	5.100.175	24.893.918	10.318.826	116734715	DCANP1	dendritic cell associated nuclear protein
ILMN_1677038	0.0289	0.00003483	5.029.693	23.262.524	11.764.319	157671944	CPED1	cadherin like and PC-esterase domain containing 1
ILMN_1753950	0.0289	0.00003861	4.989.761	22.337.033	15.310.181	994317766	ZNF326	zinc finger protein 326
ILMN_1802257	0.0289	0.00004152	-4.961.606	21.684.024	-0.8284338	308736989	PCTP	phosphatidylcholine transfer protein
ILMN_1662865	0.0289	0.00004175	-4.959.543	21.636.165	-0.7989825	153251269	CPPED1	calcineurin like phosphoesterase domain containing 1
ILMN_2358457	0.0289	0.00004184	-4.958.664	21.615.782	-0.8665091	563317857	ATF4	activating transcription factor 4
ILMN_2117623	0.0296	0.0000475	-490.963	20.477.595	-25.411.272	317008579	PLXNC1	plexin C1
ILMN_2401057	0.0296	0.00005009	4.889.048	19.999.519	0.5951535	66933004	CANX	calnexin
ILMN_1696556	0.0296	0.00005087	4.883.092	19.861.153	0.6733594	930588880	URB2	URB2 ribosome biogenesis 2 homolog (S. cerevisiae)
ILMN_2186678	0.0299	0.00005795	-483.269	18.689.697	-17.692.905	557440835	ARMT1	acidic residue methyltransferase 1
ILMN_1815238	0.0299	0.00006065	-4.815.081	18.280.211	-16.609.757	NA		
ILMN_1705364	0.0299	0.0000641	-4.793.744	17.783.896	-0.7930389	149158694	BAG6	BCL2 associated athanogene 6
ILMN_2370535	0.0299	0.00006476	-4.789.782	17.691.724	-10.785.996	523525264	GAS2L1	growth arrest specific 2 like 1
ILMN_2411915	0.0299	0.00006623	-4.781.127	17.490.383	-15.535.442	47132612	ATG4B	autophagy related 4B cysteine peptidase
ILMN_1716062	0.0299	0.00007079	-4.755.398	16.891.665	-1.623.968	50845427	MYL4	myosin light chain 4
ILMN_1780769	0.0299	0.00007585	-4.728.684	16.269.862	-0.8392578	68051719	TUBB4B	tubulin beta 4B class IVb
ILMN_1708991	0.0299	0.00007645	-4.725.687	16.200.096	-0.9652111	544583484	CCNY	cyclin Y
ILMN_1734602	0.0299	0.00008216	4.697.855	15.552.078	0.6718426	118572612	SRRM2	serine/arginine repetitive matrix 2
ILMN_1784299	0.0299	0.00008446	-4.687.173	15.303.343	-10.869.353	34147352	C19orf43	chromosome 19 open reading frame 43
ILMN_1757742	0.0299	0.00008482	-4.685.544	1.526.542	-0.947357	110815808	ZRANB1	zinc finger RANBP2-type containing 1
ILMN_2408663	0.0299	0.00008703	-4.675.622	15.034.342	-14.020.972	301129228	RHCE	Rh blood group CcEe antigens
ILMN_1672940	0.0299	0.00009343	4.648.174	14.395.077	0.901122	194097463	ZNF562	zinc finger protein 562
ILMN_1807767	0.0299	0.00009643	4.635.981	14.111.064	0.5451277	499137503	GSE1	Gse1 coiled-coil protein
ILMN_1812433	0.0299	0.00009835	-4.628.373	13.933.834	-20.453.277	970259872	HP	haptoglobin
ILMN_1758545	0.0299	0.00009976	-4.622.878	13.805.851	-22.077.082	194306641	DNAJB12	DnaJ heat shock protein family (Hsp40) member B12
ILMN_1772809	0.0299	0.00010099	-461.814	13.695.459	-2.198.886	170014726	SLC4A1	solute carrier family 4 member 1 (Diego blood group)
ILMN_1698427	0.0299	0.00011045	-4.583.555	12.889.773	-13.822.265	115527087	TMUB2	transmembrane and ubiquitin like domain containing 2
ILMN_1688865	0.0299	0.00011208	-4.577.908	1.275.823	-11.019.524	586946406	PPP1R9B	protein phosphatase 1 regulatory subunit 9B
ILMN_1789436	0.0299	0.0001132	4.574.043	12.668.188	0.8974911	NA		
ILMN_1799128	0.0299	0.00011357	4.572.813	12.639.535	0.741803	57164947	SLC30A9	solute carrier family 30 member 9
ILMN_2399036	0.0299	0.00011396	4.571.465	12.608.129	12.043.681	47578098	SEPN1	selenoprotein N, 1
ILMN_1794333	0.0299	0.0001166	4.562.621	12.402.091	0.8840338	311771664	POU2F1	POU class 2 homeobox 1
ILMN_1730432	0.0299	0.00012101	4.548.284	12.068.071	17.777.519	998074856	IGSF8	immunoglobulin superfamily member 8
ILMN_1786328	0.0299	0.00012596	-453.281	1.170.758	-0.9837214	254553397	DCAF12	DDB1 and CUL4 associated factor 12
ILMN_1743232	0.0299	0.00012813	-4.526.189	11.553.337	-17.307.592	118918412	MICALCL	MICAL C-terminal like
ILMN_2092850	0.0299	0.00012961	-4.521.754	11.450.013	-0.785231	315360641	HPSE	heparanase
ILMN_2352036	0.0299	0.00013277	-4.512.449	11.233.248	-0.5198588	47519458	RTN4	reticulon 4
ILMN_1735712	0.0299	0.00013485	-4.506.446	11.093.407	-18.785.606	119395749	KRT1	keratin 1
ILMN_2404063	0.0299	0.00013496	-450.615	11.086.507	-14.055.908	228008405	APP	amyloid beta precursor protein
ILMN_2165473	0.0299	0.00013767	-4.498.466	10.907.527	-0.4918132	544186084	MID1IP1	MID1 interacting protein 1
ILMN_1673138	0.0299	0.00013769	44.984	1.090.599	0.5438287	41152068	ZBTB33	zinc finger and BTB domain containing 33
ILMN_1796642	0.0305	0.00014488	-4.478.734	10.447.882	-0.6298613	189083740	NCF2	neutrophil cytosolic factor 2
ILMN_2339655	0.0305	0.000146	4.475.754	10.378.472	10.821.133	209529732	MAPK7	mitogen-activated protein kinase 7
ILMN_1776552	0.0308	0.0001503	4.464.535	10.117.173	0.9232751	742670571	FUBP1	far upstream element binding protein 1
ILMN_1776000	0.031	0.00015425	4.454.509	0.9883662	13.042.527	339409213	EID3	EP300 interacting inhibitor of differentiation 3
ILMN_1786972	0.031	0.00016235	-443.472	0.9422811	-0.5201217	300795157	SARS	seryl-tRNA synthetase
ILMN_1785785	0.031	0.00016332	-4.432.426	0.9369404	-0.6267544	59938783	NCOA1	nuclear receptor coactivator 1
ILMN_2102721	0.031	0.00016787	-4.421.792	0.9121787	-28.311.547	124248515	DEFA1B	defensin alpha 1B
ILMN_1806056	0.031	0.00017012	-4.416.642	0.9001871	-21.928.452	209862756	CEACAM8	carcinoembryonic antigen related cell adhesion molecule 8
ILMN_2311166	0.031	0.00017046	-4.415.882	0.8984185	-0.9384502	735997408	ITGB5	integrin subunit beta 5
ILMN_1735360	0.031	0.00017069	4.415.363	0.8972093	0.7466012	572880304	SDAD1	SDA1 domain containing 1
ILMN_1753165	0.0311	0.00017425	-4.407.388	0.8786426	-22.937.505	296939601	WNK1	WNK lysine deficient protein kinase 1
ILMN_1703079	0.0313	0.00018281	4.388.833	0.8354477	0.8158547	312222766	NFS1	NFS1 cysteine desulfurase
ILMN_1729142	0.0313	0.00018395	-4.386.421	0.8298336	-0.7846037	56118233	CENPV	centromere protein V
ILMN_2277099	0.0313	0.00018654	-438.102	0.8172608	-13.429.814	520975501	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta
ILMN_2249018	0.0313	0.00019527	4.363.324	0.7760772	0.9684568	149363643	LRRC26	leucine rich repeat containing 26
ILMN_1804148	0.0313	0.00019737	-4.359.182	0.7664392	-0.7301028	733213860	TMED4	transmembrane p24 trafficking protein 4
ILMN_1654685	0.0313	0.00019868	-4.356.636	0.7605157	-11.977.918	663071100	MCTP1	multiple C2 and transmembrane domain containing 1
ILMN_2349658	0.0313	0.00019982	-4.354.408	0.7553317	-10.079.175	NA		
ILMN_1796316	0.0313	0.00020388	-434.664	0.737258	-13.883.458	74272286	MMP9	matrix metallopeptidase 9
ILMN_2073235	0.0313	0.00021192	-4.331.662	0.7024125	-13.479.041	NA		
ILMN_2290998	0.0313	0.00021273	-4.330.186	0.698979	-11.136.899	4826664	CCS	copper chaperone for superoxide dismutase
ILMN_2320906	0.0313	0.00021379	-4.328.267	0.6945166	-17.037.868	388240761	RTN3	reticulon 3
ILMN_1766762	0.0313	0.00021859	-4.319.667	0.6745138	-0.977754	528524489	DYNLRB1	dynein light chain roadblock-type 1
ILMN_2411658	0.0313	0.00021971	-4.317.699	0.6699361	-10.638.197	NA		
ILMN_1678170	0.0313	0.00022279	-4.312.299	0.657377	-11.548.902	116256330	MME	membrane metallo-endopeptidase
ILMN_1746426	0.0313	0.00022311	4.311.757	0.6561168	0.4324217	354459408	TOMM70	translocase of outer mitochondrial membrane 70
ILMN_1737965	0.0313	0.00022423	4.309.809	0.6515879	0.9593478	169646356	ELOVL4	ELOVL fatty acid elongase 4
ILMN_2278636	0.0313	0.00022835	-4.302.758	0.6351932	-0.8359665	321400108	CUX1	cut like homeobox 1
ILMN_1745962	0.0313	0.00022885	-4.301.918	0.6332398	-11.768.825	74229026	FBXO7	F-box protein 7
ILMN_1684155	0.0313	0.00022972	4.300.446	0.6298176	0.9760628	NA		
ILMN_1733390	0.0313	0.00023197	4.296.673	0.6210441	12.034.423	518832199	LARP1B	La ribonucleoprotein domain family member 1B
ILMN_1675848	0.0314	0.00023726	4.287.942	0.6007465	0.855496	740087079	MYL12A	myosin light chain 12A
ILMN_1676448	0.0314	0.00023847	4.285.963	0.596147	0.6946371	751868087	WDFY1	WD repeat and FYVE domain containing 1
ILMN_1753404	0.0319	0.00024773	-4.271.217	0.5618747	-0.940457	206725442	LRRC23	leucine rich repeat containing 23
ILMN_2134039	0.0319	0.00024797	4.270.832	0.5609782	0.9744662	187761338	SDHAF3	succinate dehydrogenase complex assembly factor 3
ILMN_1718607	0.0321	0.00025443	4.260.874	0.5378405	0.7001172	68800004	TSPAN4	tetraspanin 4
ILMN_1668865	0.0321	0.00025666	-4.257.497	0.5299931	-14.430.924	555943844	SLC2A14	solute carrier family 2 member 14
ILMN_2109526	0.0321	0.00025956	-4.253.146	0.5198844	-11.762.625	NA		
ILMN_1695961	0.0321	0.00026176	-4.249.872	0.5122784	-13.233.572	194097434	CLK3	CDC like kinase 3
ILMN_1668460	0.0321	0.00026394	-4.246.657	0.50481	-21.004.702	71361687	PRTN3	proteinase 3
ILMN_1805535	0.0322	0.00026765	-4.241.247	0.4922435	-1.607.829	71164885	VRK3	vaccinia related kinase 3
ILMN_1772677	0.0325	0.00027436	4.231.644	0.4699413	0.415227	300069008	CNOT4	CCR4-NOT transcription complex subunit 4
ILMN_1801403	0.0325	0.00027848	4.225.863	0.4565187	0.8421776	567757541	DCUN1D4	defective in cullin neddylation 1 domain containing 4
ILMN_1815656	0.0325	0.00028364	-4.218.745	0.4399927	-0.7984617	1016470333	SERINC3	serine incorporator 3
ILMN_1771333	0.0325	0.000285	4.216.901	0.4357126	0.4952403	NA		
ILMN_1705458	0.0325	0.0002929	-4.206.288	0.4110766	-16.896.544	112421126	TRIM58	tripartite motif containing 58
ILMN_1777325	0.0325	0.00029363	4.205.332	0.4088567	0.8345749	189458859	STAT1	signal transducer and activator of transcription 1
ILMN_1655684	0.0325	0.0002986	4.198.817	0.393739	0.7474394	225579075	SARS2	seryl-tRNA synthetase 2, mitochondrial
ILMN_1746276	0.0325	0.00030103	-4.195.677	0.3864516	-14.254.984	433282965	EPC1	enhancer of polycomb homolog 1
ILMN_2399140	0.0325	0.00030327	-4.192.797	0.3797693	-11.662.105	354721182	RAB5C	RAB5C, member RAS oncogene family
ILMN_1690077	0.0325	0.00030441	-4.191.345	0.3764013	-21.544.381	193211599	PPM1A	protein phosphatase, Mg2+/Mn2+ dependent 1A
ILMN_2165289	0.0325	0.00030447	-4.191.268	0.3762218	-2.641.088	296010796	DEFA3	defensin alpha 3
ILMN_1774513	0.0325	0.00030517	-4.190.371	0.3741395	-16.486.676	NA		
ILMN_1752247	0.0332	0.00031533	-4.177.667	0.3446712	-10.097.613	395759205	AKAP13	A-kinase anchoring protein 13
ILMN_1811927	0.0333	0.00032332	-4.167.958	0.3221541	-16.858.208	68533231	OR2W3	olfactory receptor family 2 subfamily W member 3
ILMN_2222984	0.0333	0.00033117	4.158.643	0.3005563	0.4990489	194018400	RDH14	retinol dehydrogenase 14 (all-trans/9-cis/11-cis)
ILMN_1756992	0.0333	0.00033496	4.154.225	0.2903146	11.100.687	NA		
ILMN_1716272	0.0333	0.00033589	4.153.144	0.287808	0.775434	227497735	KBTBD8	kelch repeat and BTB domain containing 8
ILMN_2367671	0.0333	0.00033795	-4.150.772	0.2823111	-16.621.785	73390131	LIMK2	LIM domain kinase 2
ILMN_2372241	0.0333	0.0003405	-4.147.857	0.2755538	-23.598.426	NA		
ILMN_1669674	0.0333	0.00034562	-4.142.054	0.2621057	-15.432.724	974005399	CNPY3	canopy FGF signaling regulator 3
ILMN_1654032	0.0333	0.00034576	-4.141.903	0.2617544	-0.5951324	425876794	ZER1	zyg-11 related cell cycle regulator
ILMN_1654851	0.0333	0.00034682	-4.140.711	0.2589929	-0.8004845	1007366674	FAM134A	family with sequence similarity 134 member A
ILMN_1667224	0.0333	0.00034871	4.138.602	0.2541055	23.399.646	149999609	SLAMF8	SLAM family member 8
ILMN_1661373	0.0333	0.00035173	4.135.254	0.2463477	20.648.931	NA		
ILMN_1676385	0.0333	0.0003534	-4.133.413	0.2420837	-13.710.589	191250770	PAK2	p21 (RAC1) activated kinase 2
ILMN_1764549	0.0333	0.00035763	4.128.792	0.2313771	0.4919571	332000022	UBE3A	ubiquitin protein ligase E3A
ILMN_2140799	0.0333	0.00036249	412.355	0.2192354	10.469.719	116006948	FAM24B	family with sequence similarity 24 member B
ILMN_1728907	0.0333	0.00036296	4.123.042	0.2180581	0.4705742	NA		
ILMN_1746561	0.0333	0.00036399	4.121.944	0.2155159	0.9972497	315360669	BCL2L2	BCL2 like 2
ILMN_1710326	0.0335	0.00037925	4.105.984	0.1785589	0.6160126	93588627	CLDND1	claudin domain containing 1
ILMN_1657682	0.0335	0.00037956	4.105.665	0.1778214	0.6669536	25306276	GFM1	G elongation factor mitochondrial 1
ILMN_1805512	0.0335	0.00037959	-410.563	0.1777402	-0.5046109	261878571	WDR13	WD repeat domain 13
ILMN_1781416	0.0335	0.00038198	-4.103.195	0.1721028	-0.8046765	NA		
ILMN_1737462	0.0335	0.00038376	4.101.382	0.1679059	0.8577495	194306542	OXR1	oxidation resistance 1
ILMN_1751362	0.0335	0.00038489	4.100.238	0.1652585	0.63568	1015196093	FASTKD1	FAST kinase domains 1
ILMN_1757644	0.0335	0.00038764	-4.097.478	0.1588714	-0.7056466	321267498	UBE2H	ubiquitin conjugating enzyme E2 H
ILMN_1768117	0.0335	0.00039225	4.092.879	0.1482271	0.6833733	222080050	RBM25	RNA binding motif protein 25
ILMN_2193213	0.0335	0.00039662	-4.088.564	0.1382416	-24.995.954	296010794	DEFA1	defensin alpha 1
ILMN_1677920	0.0335	0.00039939	-4.085.861	0.1319874	-22.987.693	1007369912	LTF	lactotransferrin
ILMN_1656079	0.0335	0.00040011	4.085.158	0.1303612	11.077.966	32479526	KCNQ1	potassium voltage-gated channel subfamily Q member 1
ILMN_2211950	0.0339	0.00040785	-4.077.712	0.1131376	-0.9523835	NA		
ILMN_1718808	0.034	0.00041629	-4.069.739	0.0946969	-12.832.213	387157885	AKAP10	A-kinase anchoring protein 10
ILMN_1689518	0.034	0.00041712	-4.068.967	0.0929119	-0.7425559	313760623	PECAM1	platelet and endothelial cell adhesion molecule 1
ILMN_1733675	0.034	0.00042006	-4.066.233	0.0865898	-0.7669016	262118252	MPP1	membrane palmitoylated protein 1
ILMN_2388112	0.034	0.00042106	-4.065.302	0.0844378	-1.504.859	86793035	CR1	complement component 3b/4b receptor 1 (Knops blood group)
ILMN_2117904	0.0341	0.00042473	4.061.934	0.0766499	0.4874414	197304718	ZNF22	zinc finger protein 22
ILMN_1813344	0.0347	0.00043991	4.048.259	0.0450428	0.844531	260898773	NDUFAF5	NADH:ubiquinone oxidoreductase complex assembly factor 5
ILMN_1675156	0.0347	0.00044383	-4.044.804	0.0370591	-19.217.354	89903014	CDC42	cell division cycle 42
ILMN_1703072	0.0347	0.00044393	4.044.717	0.0368592	20.277.607	38327637	CREB3	cAMP responsive element binding protein 3
ILMN_1799688	0.0347	0.00044532	4.043.505	0.0340567	0.6893906	118402595	CDC23	cell division cycle 23
ILMN_1761112	0.0347	0.00045166	4.037.999	0.0213364	16.289.126	45439332	PORCN	porcupine homolog (Drosophila)
ILMN_1668374	0.0347	0.00045194	-4.037.754	0.0207712	-0.8695919	735997408	ITGB5	integrin subunit beta 5
ILMN_1680777	0.035	0.00045851	-4.032.136	0.007795	-1.618.724	117306180	MAP2K3	mitogen-activated protein kinase kinase 3
ILMN_1675721	0.0351	0.00046251	4.028.753	-0.0000176	16.564.539	58530887	UBE2R2	ubiquitin conjugating enzyme E2 R2
ILMN_1660462	0.0363	0.0004884	4.007.525	-0.0490231	0.6360446	732663006	MCOLN2	mucolipin 2
ILMN_1750969	0.0363	0.0004898	-4.006.409	-0.051598	-0.5586455	148664227	FAM120AOS	family with sequence similarity 120A opposite strand
ILMN_1732809	0.0363	0.00049502	4.002.279	-0.0611257	0.7116652	118026920	ALG9	ALG9, alpha-1,2-mannosyltransferase
ILMN_1815859	0.0363	0.00049522	4.002.119	-0.0614953	0.710683	195947405	ERCC2	ERCC excision repair 2, TFIIH core complex helicase subunit
ILMN_2135798	0.0363	0.00049617	4.001.377	-0.0632078	0.7533022	665821232	NR2C2AP	nuclear receptor 2C2 associated protein
ILMN_1715963	0.0363	0.00050077	-3.997.772	-0.0715228	-22.826.637	74229028	FBXO7	F-box protein 7
ILMN_1692261	0.0363	0.0005017	3.997.052	-0.0731857	0.5972051	290560672	EPHB1	EPH receptor B1
ILMN_1744822	0.0363	0.00050486	-3.994.601	-0.0788373	-0.7124909	929524265	BECN1	beclin 1
ILMN_1736180	0.0364	0.00051016	-399.053	-0.0882266	-0.8029424	197313686	FRAT1	frequently rearranged in advanced T-cell lymphomas 1
ILMN_2410516	0.0367	0.00051712	-3.985.243	-0.1004183	-22.641.168	193211599	PPM1A	protein phosphatase, Mg2+/Mn2+ dependent 1A
ILMN_1739942	0.0371	0.00052566	3.978.859	-0.1151368	0.5977137	254910982	FAM117B	family with sequence similarity 117 member B
ILMN_1724183	0.0378	0.00054072	-3.967.831	-0.1405519	-11.609.784	532691776	CDKL1	cyclin dependent kinase like 1
ILMN_1799113	0.0378	0.00054729	3.963.118	-0.1514102	0.842663	109134354	CEP83	centrosomal protein 83
ILMN_1666552	0.0378	0.00054974	3.961.376	-0.1554212	0.7791007	692314715	ZNF75A	zinc finger protein 75a
ILMN_1781906	0.0378	0.00055139	3.960.207	-0.1581143	0.4924378	224549001	RBM17	RNA binding motif protein 17
ILMN_2391141	0.0378	0.00055405	3.958.328	-0.1624441	0.4947723	332000023	UBE3A	ubiquitin protein ligase E3A
ILMN_1809086	0.0382	0.00056218	3.952.639	-0.1755448	0.5838313	544583594	XRN1	5'-3' exoribonuclease 1
ILMN_2173835	0.0386	0.00057446	-3.944.201	-0.1949719	-0.5086284	56912190	FTH1P3	ferritin heavy chain 1 pseudogene 3
ILMN_2325337	0.0386	0.00057815	3.941.696	-0.2007365	0.9767703	731184214	APOL2	apolipoprotein L2
ILMN_1655114	0.0386	0.00058353	-3.938.082	-0.2090541	-0.8396969	378824461	ABR	active BCR-related
ILMN_1755222	0.0386	0.00058465	3.937.332	-0.2107806	0.6794725	262527222	CAAP1	caspase activity and apoptosis inhibitor 1
ILMN_1665357	0.0386	0.00058652	3.936.082	-0.2136565	0.5227942	56682951	EPS15	epidermal growth factor receptor pathway substrate 15
ILMN_1740217	0.0386	0.0005921	3.932.385	-0.2221648	1.152.621	116875851	HACE1	HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1
ILMN_1706764	0.0386	0.00059272	3.931.975	-0.2231086	0.5626274	209954684	GOLPH3L	golgi phosphoprotein 3 like
ILMN_2128668	0.0387	0.00059787	3.928.594	-0.2308846	0.3959445	311893301	FOXJ3	forkhead box J3
ILMN_2079803	0.0391	0.00061298	3.918.841	-0.2533177	0.4433627	166197709	LSM14A	LSM14A, mRNA processing body assembly factor
ILMN_1789642	0.0391	0.00062303	-391.248	-0.2679425	-0.9729531	313103004	DNAJC5	DnaJ heat shock protein family (Hsp40) member C5
ILMN_1708323	0.0391	0.00062458	-3.911.511	-0.2701697	-15.497.852	195539357	ALAS2	5'-aminolevulinate synthase 2
ILMN_2377733	0.0391	0.00063176	-3.907.038	-0.2804508	-22.669.468	122056469	CASP8	caspase 8
ILMN_2227473	0.0391	0.00063179	3.907.018	-0.2804949	1.261.079	55769582	PIBF1	progesterone immunomodulatory binding factor 1
ILMN_1701169	0.0391	0.00063429	-3.905.473	-0.2840474	-0.9023564	125991232	HP1BP3	heterochromatin protein 1 binding protein 3
ILMN_2325978	0.0391	0.00063499	-3.905.041	-0.2850396	-12.862.225	619329002	HDGFRP2	hepatoma-derived growth factor-related protein 2
ILMN_1748090	0.0391	0.00063852	-3.902.876	-0.2900146	-13.462.521	544583463	SLC2A11	solute carrier family 2 member 11
ILMN_1683328	0.0391	0.00063923	-3.902.443	-0.2910093	-13.127.053	298286515	IP6K2	inositol hexakisphosphate kinase 2
ILMN_1777156	0.0391	0.00063992	390.202	-0.2919809	0.6889346	306518612	GTPBP3	GTP binding protein 3 (mitochondrial)
ILMN_2093674	0.0397	0.00065305	389.407	-0.310245	0.553573	31795542	GMFB	glia maturation factor beta
ILMN_2371379	0.0401	0.00066321	3.888.033	-0.3241099	0.4785951	38569422	ACLY	ATP citrate lyase
ILMN_1802669	0.0401	0.00066659	3.886.041	-0.3286826	0.4023977	585420390	PPP3CB	protein phosphatase 3 catalytic subunit beta
ILMN_1695991	0.0412	0.00069138	3.871.743	-0.3615028	0.9761652	NA		
ILMN_1721241	0.0412	0.00069393	3.870.299	-0.3648144	11.838.663	335883182	CYTH2	cytohesin 2
ILMN_1781151	0.0412	0.00069698	-3.868.586	-0.3687459	-15.860.371	537361061	ARMC8	armadillo repeat containing 8
ILMN_2225735	0.0417	0.00070782	3.862.541	-0.382611	0.6319471	291045196	CRBN	cereblon
ILMN_1777318	0.0422	0.00072423	3.853.558	-0.4032101	0.6746896	966209704	C9orf64	chromosome 9 open reading frame 64
ILMN_1715508	0.0422	0.00072537	-385.294	-0.4046256	-0.7842676	62953139	NNMT	nicotinamide N-methyltransferase
ILMN_2392674	0.0422	0.00072907	3.850.944	-0.4092015	0.930512	283806652	PRR3	proline rich 3
ILMN_1806304	0.0427	0.00074091	-3.844.632	-0.4236678	-14.031.447	347543761	ENTPD4	ectonucleoside triphosphate diphosphohydrolase 4
ILMN_2375141	0.0431	0.00075642	-3.836.508	-0.442281	-0.6709872	NA		
ILMN_2153679	0.0431	0.00075927	-3.835.033	-0.4456582	-0.7198527	612339340	TBC1D3B	TBC1 domain family member 3B
ILMN_1807833	0.0431	0.00076069	-3.834.299	-0.4473403	-19.594.358	540344532	HM13	histocompatibility minor 13
ILMN_1689097	0.0431	0.00076476	3.832.205	-0.4521365	0.4601849	335335010	NAA20	N(alpha)-acetyltransferase 20, NatB catalytic subunit
ILMN_1689734	0.0431	0.00077044	-3.829.306	-0.4587753	-18.752.703	296010861	IL1RN	interleukin 1 receptor antagonist
ILMN_1798233	0.0431	0.00077355	3.827.723	-0.4624	12.009.373	73747923	PSMB9	proteasome subunit beta 9
ILMN_1711491	0.0431	0.00077472	3.827.131	-0.4637556	1.759.612	261278294	SYNPO	synaptopodin
ILMN_1661197	0.0432	0.00078338	3.822.769	-0.4737392	0.6404489	50726992	CLCF1	cardiotrophin-like cytokine factor 1
ILMN_2330948	0.0432	0.00078466	-3.822.127	-0.47521	-0.7021217	66879663	ARF1	ADP ribosylation factor 1
ILMN_1765417	0.0432	0.00078982	3.819.556	-0.4810934	14.653.892	24119165	RBBP9	RB binding protein 9, serine hydrolase
ILMN_1791925	0.0432	0.00079252	3.818.219	-0.4841546	18.353.013	971059229	NFAM1	NFAT activating protein with ITAM motif 1
ILMN_1656042	0.0432	0.00079983	-3.814.611	-0.492411	-10.806.397	227496328	KIAA0319L	KIAA0319 like
ILMN_1661359	0.0432	0.00080223	3.813.435	-0.4951017	10.314.355	283436086	CXorf65	chromosome X open reading frame 65
ILMN_1793632	0.0432	0.00080348	3.812.825	-0.4964966	0.4980564	148277051	TMEM222	transmembrane protein 222
ILMN_2059797	0.0433	0.00081168	3.808.838	-0.5056164	10.589.811	443929387	NOL3	nucleolar protein 3
ILMN_1714896	0.0433	0.00081458	3.807.439	-0.5088175	0.6537113	119393885	SART3	squamous cell carcinoma antigen recognized by T-cells 3
ILMN_1658702	0.0434	0.00082401	-3.802.916	-0.5191607	-0.8541212	20336753	HIST1H2BJ	histone cluster 1, H2bj
ILMN_2145518	0.0434	0.00082517	3.802.363	-0.5204237	0.488265	375065836	TMEM126B	transmembrane protein 126B
ILMN_1670420	0.0434	0.00083355	3.798.396	-0.5294947	0.5898554	111160875	METAP2	methionyl aminopeptidase 2
ILMN_2371825	0.0434	0.0008343	3.798.043	-0.5303021	0.8100047	116734848	AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase
ILMN_1662973	0.0434	0.00083474	-3.797.836	-0.5307736	-0.8497008	67782352	CD82	CD82 molecule
ILMN_1705183	0.0441	0.00085286	-3.789.397	-0.5500616	-20.392.333	4557758	MPO	myeloperoxidase
ILMN_2345872	0.0441	0.00086712	3.782.879	-0.5649519	0.5464167	110227852	SUMF2	sulfatase modifying factor 2
ILMN_1726342	0.0441	0.00087277	-3.780.326	-0.5707835	-19.144.692	586597884	BIN2	bridging integrator 2
ILMN_1733248	0.0441	0.00087333	3.780.075	-0.5713562	0.8102099	296179391	NRBP2	nuclear receptor binding protein 2
ILMN_1784333	0.0441	0.00087419	377.969	-0.5722355	0.5639665	301601633	SECISBP2L	SECIS binding protein 2 like
ILMN_1773742	0.0441	0.00087792	3.778.013	-0.5760647	0.6774324	313482783	DNAJB9	DnaJ heat shock protein family (Hsp40) member B9
ILMN_1738099	0.0441	0.00088012	3.777.032	-0.5783067	0.3790424	406362828	CAMKMT	calmodulin-lysine N-methyltransferase
ILMN_2401730	0.0441	0.00088629	3.774.284	-0.5845807	0.7591206	274321488	C1GALT1C1	C1GALT1 specific chaperone 1
ILMN_1664303	0.0441	0.00088944	-377.289	-0.5877621	-0.4864646	148728163	HTATIP2	HIV-1 Tat interactive protein 2
ILMN_1808047	0.0441	0.00088983	-3.772.714	-0.5881644	-14.900.613	115298642	PHC2	polyhomeotic homolog 2
ILMN_2200917	0.0441	0.00089211	377.171	-0.5904553	0.7749551	385648266	SLC4A7	solute carrier family 4 member 7
ILMN_1775380	0.0446	0.00090672	-376.532	-0.6050404	-0.7402041	NA		
