ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1654357	0.261	0.10078741	1.704.187	-46.885.989	0.5041366	809279633	ZNF24	zinc finger protein 24
ILMN_1748450	0.261	0.10082492	1.703.988	-46.888.938	0.6868393	594190823	TAL1	TAL bHLH transcription factor 1, erythroid differentiation factor
ILMN_1774949	0.261	0.10084083	-1.703.904	-46.890.188	-0.5787108	82799479	PIGP	phosphatidylinositol glycan anchor biosynthesis class P
ILMN_2171102	0.261	0.10084747	-1.703.869	-46.890.709	-0.8251922	224028281	MSL2	male-specific lethal 2 homolog (Drosophila)
ILMN_2338038	0.2611	0.10089681	-1.703.609	-46.894.585	-0.6209674	298566319	AK4	adenylate kinase 4
ILMN_2092333	0.2611	0.10091118	-1.703.533	-46.895.714	-0.3789769	32401434	GPR141	G protein-coupled receptor 141
ILMN_1782551	0.2611	0.10097445	-1.703.199	-46.900.679	-0.3504344	134142810	E2F5	E2F transcription factor 5
ILMN_1654541	0.2611	0.10098663	1.703.135	-46.901.634	0.4133139	323276653	ATP6V1G2	ATPase H+ transporting V1 subunit G2
ILMN_1806123	0.2611	0.10099567	-1.703.087	-46.902.344	-11.421.307	223468570	MRPL23	mitochondrial ribosomal protein L23
ILMN_1713086	0.2614	0.10111949	-1.702.435	-4.691.205	-0.4608869	157688562	RPL27A	ribosomal protein L27a
ILMN_2184373	0.2614	0.10113523	1.702.352	-46.913.283	0.8625361	324073503	CXCL8	C-X-C motif chemokine ligand 8
ILMN_1736995	0.2614	0.10116705	1.702.184	-46.915.774	0.8560321	153251728	C12orf66	chromosome 12 open reading frame 66
ILMN_1697491	0.2617	0.10131877	1.701.386	-46.927.644	0.300209	237757348	PRR5L	proline rich 5 like
ILMN_1755364	0.2617	0.10134296	1.701.258	-46.929.535	0.2159342	324072795	RALA	RALA Ras like proto-oncogene A
ILMN_1690863	0.2618	0.10141486	170.088	-46.935.152	0.7156893	154091002	ZNF470	zinc finger protein 470
ILMN_1739985	0.2619	0.10148551	-1.700.509	-46.940.667	-0.3448143	525313540	TAGAP	T-cell activation RhoGTPase activating protein
ILMN_1785336	0.2619	0.10148761	1.700.498	-46.940.831	0.3732769	192807338	PMM2	phosphomannomutase 2
ILMN_1685631	0.2619	0.1014982	1.700.443	-46.941.657	0.2474559	133922608	MAU2	MAU2 sister chromatid cohesion factor
ILMN_2341793	0.2622	0.10165534	-1.699.618	-46.953.906	-0.3349803	261399873	CCT7	chaperonin containing TCP1 subunit 7
ILMN_1796063	0.2625	0.10178834	1.698.921	-46.964.257	0.17956	725798593	TRIM44	tripartite motif containing 44
ILMN_1804851	0.2625	0.10180781	1.698.819	-46.965.772	0.2537406	16554613	MRPS17	mitochondrial ribosomal protein S17
ILMN_1768962	0.2625	0.10182473	-169.873	-46.967.088	-11.525.499	612407826	AKAP8L	A-kinase anchoring protein 8 like
ILMN_2359500	0.2626	0.10191148	1.698.276	-46.973.829	0.70259	62526028	NCDN	neurochondrin
ILMN_1720266	0.2627	0.10194928	1.698.078	-46.976.764	0.4878209	NA		
ILMN_1759097	0.2633	0.10223928	1.696.563	-46.999.246	0.2571653	55774979	MLLT11	"myeloid/lymphoid or mixed-lineage leukemia; translocated to, 11"
ILMN_1724659	0.2633	0.10226638	-1.696.421	-47.001.343	-0.8739299	42544178	CIZ1	CDKN1A interacting zinc finger protein 1
ILMN_1805796	0.2633	0.10227403	1.696.381	-47.001.935	0.3413417	215820624	FLYWCH2	FLYWCH family member 2
ILMN_1655377	0.2635	0.10236567	1.695.903	-47.009.022	0.1687455	16554602	MRPS22	mitochondrial ribosomal protein S22
ILMN_2372639	0.2635	0.10240622	-1.695.692	-47.012.156	-0.2795581	109698598	TRAPPC5	trafficking protein particle complex 5
ILMN_1720430	0.2635	0.10242451	-1.695.597	-47.013.569	-0.5434023	34147371	PPDPF	pancreatic progenitor cell differentiation and proliferation factor
ILMN_2051684	0.2636	0.10247442	1.695.337	-47.017.423	0.2050869	154240672	C4orf3	chromosome 4 open reading frame 3
ILMN_2216157	0.2636	0.10248621	-1.695.275	-47.018.333	-0.4449069	42476110	GNA12	G protein subunit alpha 12
ILMN_1692707	0.2636	0.10254169	1.694.986	-47.022.616	0.3932842	61966780	PTRHD1	peptidyl-tRNA hydrolase domain containing 1
ILMN_1703946	0.2636	0.10254223	1.694.983	-47.022.657	0.4851256	22907046	ADORA2B	adenosine A2b receptor
ILMN_1772064	0.2636	0.10262581	1.694.548	-47.029.103	0.6759966	148612804	GSAP	gamma-secretase activating protein
ILMN_1706075	0.2636	0.10262936	-169.453	-47.029.376	-0.3951539	821562778	SF3B1	splicing factor 3b subunit 1
ILMN_1790461	0.2636	0.10263496	1.694.501	-47.029.808	0.3948643	409104120	UQCC2	ubiquinol-cytochrome c reductase complex assembly factor 2
ILMN_1726786	0.2637	0.10270038	169.416	-47.034.849	0.2514098	67782329	TNRC6B	trinucleotide repeat containing 6B
ILMN_2153029	0.2637	0.10270092	-1.694.158	-47.034.891	-0.6971098	356874799	CGB3	chorionic gonadotropin beta subunit 3
